circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-7,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,8.0,5783.0,27.75
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,KANSANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,17.0,3263.0,30.77
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,KICHANNAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,432.0,11.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,KODEKAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,9.0,1690.0,18.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,KONDAREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,438.0,2.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,KOTHAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,196.0,2.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,MANSANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1004.0,14.77
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,MASANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,1947.0,7.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,NADLAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,8.0,5001.0,22.52
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,KONAMPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,483.0,4.0
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,KONYAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,2850.0,16.0
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,KOTHAGUDAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,1490.0,11.25
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,LINGAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,1296.0,13.5
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,MADHURA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,4.0,1256.0,8.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,MALKAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,2.0,515.0,29.25
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,MANGAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,9.0,1602.0,18.63
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,MUCHERLA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,4.0,1634.0,14.25
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,NAGAVARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,3929.0,11.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,NAGULADEVPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,1458.0,8.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,NASTIPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,2.0,229.0,9.38
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,NAWABPET H/O HATNOORA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,5.0,2082.0,23.25
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,PALPANOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,548.0,12.5
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,NEREDGUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,17.0,1955.0,28.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,POSANPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,1016.0,13.51
